objectid,name_std,acreage,year,raw_excerpt
279,Arthur Donalley,150.0,1746.0,150a Albemarle County on the Branches of Totier
280,Thomas Ogilsby,200.0,1746.0,200a Goochland County on the N Fork of Totier Creek
281,Thomas Fitzpatrick,335.0,1746.0,335a Goochland Co. on both sides the N Fork of Hardware Riv.
282,James Wood,190.0,1746.0,190a Goochland Co. on the Head Branches of Ivy Cr.
283,James Goodall,400.0,1746.0,400a ORCO
284,William Coursey Junr,350.0,1746.0,350a Louisa Co. near the foot of the Piney Mountains
285,Samuel Dalton,404.0,1746.0,404a Louisa County on both sides the N branch of the N fork of James River beyond the Mountains
286,John Eubank,290.0,1746.0,290a Louisa Co. and Parish of Fredericksvile on the Branches of the South Fork of Rockey Creek
287,Christopher Harris,350.0,1746.0,350a Louisa Co. under the foot of the ragged Mountains and on both sides of a West fork of Rockey Creek
288,Walter Leek Junr.,226.0,1746.0,226a Albemarle County on the branches of Hardway River
289,Richard Bennet,400.0,1746.0,400a Louisa County on the Branches of Beverdam Swamp
290,Joseph Fitzpatrick,400.0,1746.0,400 ac both sides of so. branch of no. fork of Hardware River
291,Thomas Fitzpatrick,497.0,1746.0,497 ac a branch of Hardware River
292,William Lee,245.0,1746.0,245 ac branches of Hardware River
293,Peter Hairstone,250.0,1746.0,250a Goochland Co. in the north Garden
294,William Rice,400.0,1746.0,400a Louisa County on the Branches of Dyles River [Doyles River]
295,Joseph Roberts,204.0,1746.0,204a Goochland County on both sides Keys Mill Swamp
296,Matthew Whittell,400.0,1746.0,400a Hanover Co. on both sides of the South fork of the North fork of James River
297,Hugh Dobbins Junior,390.0,1746.0,390a Goochland County in North Garden
298,William Shaw,304.0,1746.0,304a Goochland County on the branches of Ivey Creek
299,Mildred Meriwether Daughter Of Nicholas Meriwether Junior Deceased,1600.0,1746.0,1600a Goochland County in the South Garden on both sides of the South Branch of Hardware River
300,Joseph Anthony,2042.0,1746.0,2042a Goochland County on both sides of Bisket Run
301,William Harris,400.0,1746.0,400a Goochland Co. on both sides of Green Creek
302,John Greer,250.0,1746.0,250a Goochland Co. Joining to Grannies Hill
303,Walter Leek,150.0,1746.0,150a Albemarle Co. on the branches of Hardway River
304,John Rogers Junior,400.0,1746.0,400a Louisa Co. on both sides the main fork of Pritties Creek
305,John Rogers Junior,400.0,1746.0,400a Louisa Co. on both sides the main fork of Pritties Creek
306,William Little,200.0,1746.0,200a Goochland Co. on both sides of Stocktons br. of Mechums River
